GeographyCode,MedianAge
E02000341,34
E02000342,28
E02000343,39
E02000344,40
E02000345,24
E02000346,32
E02000347,27
E02000348,27
E02000350,30
E02000351,30
E02000352,32
E02000353,32
E02000354,31
E02000355,32
E02000356,32
E02000357,31
E02000358,31
E02000359,31
E02000360,31
E02000361,30
E02000362,31
E02000363,30
E02000364,32
E02000365,31
E02000366,31
E02000367,31
E02000368,30
E02000369,30
E02000370,30
E02000371,29
E02000372,32
E02000373,30
E02000374,31
E02000375,32
E02000376,32
E02000377,32
E02000378,32
E02000379,34
E02000380,34
E02000381,33
E02000382,34
E02000383,32
E02000384,32
E02000385,31
E02000386,31
E02000387,30
E02000388,31
E02000389,33
E02000390,31
E02000391,33
E02000392,31
E02000393,32
E02000394,31
E02000395,34
E02000396,33
E02000397,32
E02000398,31
E02000400,33
E02000401,31
E02000402,31
E02000403,32
E02000404,31
E02000405,37
E02000406,31
E02000407,31
E02000408,29
E02000409,31
E02000410,35
E02000411,30
E02000412,31
E02000413,36
E02000414,32
E02000415,32
E02000416,33
E02000417,35
E02000418,39
E02000419,31
E02000420,33
E02000421,31
E02000422,32
E02000423,31
E02000424,34
E02000425,27
E02000426,37
E02000427,31
E02000428,31
E02000429,37
E02000430,34
E02000431,34
E02000432,32
E02000433,45
E02000434,38
E02000435,39
E02000436,46
E02000437,39
E02000438,38
E02000439,33
E02000440,37
E02000441,41
E02000442,32
E02000443,33
E02000444,35
E02000445,33
E02000447,38
E02000448,42
E02000449,34
E02000451,40
E02000452,31.5
E02000453,34
E02000454,41
E02000455,33
E02000456,35
E02000457,39
E02000459,33
E02000460,32
E02000461,33
E02000462,35
E02000463,34
E02000464,39
E02000465,36
E02000466,37
E02000467,33
E02000468,41
E02000469,38
E02000470,43
E02000471,47
E02000472,40
E02000473,40
E02000474,37
E02000475,41
E02000476,33
E02000477,42
E02000478,48
E02000479,35
E02000480,36
E02000481,46
E02000482,46
E02000483,44
E02000484,42
E02000485,41
E02000486,44
E02000487,47
E02000488,44
E02000489,41
E02000490,42
E02000491,38
E02000492,46
E02000493,35
E02000494,45
E02000495,39
E02000496,40
E02000497,40
E02000498,42
E02000499,43
E02000500,43
E02000501,40
E02000502,37
E02000503,37
E02000504,44
E02000506,44
E02000507,34
E02000508,27
E02000509,25
E02000510,36
E02000511,35
E02000512,32
E02000513,30
E02000514,32
E02000515,31
E02000516,31
E02000517,31
E02000518,33
E02000519,31
E02000520,31
E02000521,31
E02000522,33
E02000523,31
E02000524,34
E02000525,32
E02000526,37
E02000528,33
E02000529,32
E02000530,31
E02000531,34
E02000532,37
E02000533,37
E02000534,34
E02000535,33
E02000536,32
E02000537,33
E02000538,31
E02000539,33
E02000540,33
E02000541,32
E02000542,31
E02000543,31
E02000544,36
E02000545,34
E02000546,31
E02000547,35
E02000548,33
E02000549,35
E02000550,31
E02000551,32
E02000552,32
E02000553,36
E02000554,33
E02000555,33
E02000556,32
E02000557,34
E02000558,31
E02000559,31
E02000560,30
E02000561,33
E02000562,33
E02000563,31
E02000564,30
E02000565,31
E02000566,33
E02000567,32
E02000568,30
E02000569,33
E02000570,32
E02000571,33
E02000572,29
E02000573,32
E02000574,31
E02000575,30
E02000576,30
E02000577,34
E02000578,34
E02000579,36
E02000580,35
E02000581,36
E02000582,35
E02000583,37
E02000584,36.5
E02000585,36
E02000586,34
E02000587,37
E02000588,37
